Author,Year,Type_of_Meta-Analysis,Age_Group,Health_Status,Skill_Level,N,Task,Outcome_Measure,Hedges_g,Standard_Error,Risk_of_Bias
Emanuel et al.,2008,Retention,Children,Healthy,Novice,32,Dart throwing,Radial error,-0.296,0.347,Moderate
Emanuel et al.,2008,Retention,Adult,Healthy,Novice,34,Dart throwing,Radial error,0.369,0.338,Moderate
Gredin & Williams,2016,Retention,Children,Healthy,Novice,24,Soccer chipping,Radial error,0.53,0.403,Moderate
Hadler et al.,2014,Retention,Children,Healthy,Novice,30,Tennis serve,Accuracy score,1.034,0.38,Moderate
Jackson & Holmes,2011,Retention,Adult,Healthy,Novice,18,Balance,Time in balance,0.131,0.321,Low
"Kim, Hinojosa et al.",2017,Retention,Adult,Stroke,Novice,30,Arm movement,FMA-UE score,0.016,0.355,Low
Koufou et al.,2013,Retention,Children,Healthy,Novice,20,Forward tuck roll,Movement quality score,0.791,0.446,Moderate
Land et al.,2014,Retention,Adult,Healthy,Novice,20,Golf putting,Radial error,1.695,0.505,Low
Laufer et al.,2007,Retention,Adult,Ankle sprain,Novice,40,Balance,Overall Stability,0.198,0.22,Low
Lawrence et al.,2011,Retention,Adult,Healthy,Novice,20,Gymnastics,Movement form,0.948,0.454,Low
McNevin et al.,2003,Retention,Adult,Healthy,Novice,20,Balance,Angular deviation,0.43,0.434,Low
Mullen et al.,2012,Retention,Adult,Healthy,Novice,16,Simulation driving,Lap time,1.161,0.515,Low
Parr & Button,2009,Retention,Children,Healthy,Novice,12,Rowing,Apex to lock distance of blade,1.585,0.623,Low
Perreault & French,2015,Retention,Children,Healthy,Novice,28,Modified basketball free,Accuracy score,2.207,0.471,Low
Saemi et al.,2013,Retention,Children,ADHD,Novice,20,Tennis ball throwing,Accuracy score,1.281,0.474,Moderate
Samsudin & Low,2017,Retention,Children,ASD,Novice,10,Boule throwing,Radial error,4.428,1.143,Low
"Shafizadeh, Platt & Bahram",2013,Retention,Adult,Healthy,Novice,24,Dart throwing,Accuracy score,0.536,0.402,Moderate
Shea & Wulf,1999,Retention,Adult,Healthy,Novice,32,Balance,Angular deviation,0.768,0.35,Low
Tse,2017,Retention,Children,ASD,Novice,44,Beanbag throwing,Radial error,-1.782,0.352,Moderate
Tse & van Ginneken,2017,Retention,Children,Healthy,Novice,40,Dart throwing,Radial error,0.155,0.341,Low
Tsetseli et al.,2016,Retention,Children,Healthy,Experienced,40,Tennis match,Score,0.507,0.315,Moderate
Tsetseli et al.,2018,Retention,Children,Healthy,Experienced,44,Tennis serve,Score,2.259,0.382,Moderate
Uehara et al.,2008,Retention,Adult,Healthy,Novice,12,Soccer chipping,Radial error,-0.294,0.536,Moderate
Welling et al.,2016,Retention,Adult,Healthy,Novice,20,Jumping,Jump height,0.09,0.429,Low
"Wulf, Chiviacowsky, et al.",2010,Retention,Children,Healthy,Novice,48,Soccer throw-in,Movement form score,0.421,0.286,Low
Wulf et al.,1998 Exp 1 & 2,Retention,Adult,Healthy,Novice,38,Balance,angular deviation,1.371,0.351,Low
Wulf et al.,1999,Retention,Adult,Healthy,Novice,22,Golf pitch shot,Accuracy score,1.49,0.468,Moderate
Wulf et al.,2002 Exp 1 & 2,Retention,Adult,Healthy,Experienced,100,"Volleyball serve, soccer lofted",Accuracy score,1.281,0.217,Moderate
Wulf et al.,2001,Retention,Adult,Healthy,Novice,28,Balance,Angular deviation,2.007,0.455,Low
Wulf & Su,2007 Exp 1,Retention,Adult,Healthy,Novice,20,Golf pitch shot,Accuracy score,0.358,0.432,Low
"Wulf, Wächter, et al.",2003,Retention,Children,Healthy,Novice,40,Soccer straight,Accuracy,0.338,0.316,Low
"Wulf, Weigelt, et al.",2003,Retention,Adult,Healthy,Novice,38,Balance,Angular deviation,1.688,0.367,Low
Zentgraf & Munzert,2009,Retention,Adult,Healthy,Novice,46,Juggling,Rate of correct trials,0.181,0.29,Low
Ziv & Lidor,2015,Retention,Adult,Healthy,Novice,48,Golf putting,Radial error,0.068,0.284,Low
Abdollahipour et al.,2008,Transfer,Children,Healthy,Novice,76,Soccer dribbling,Movement time,0.514,0.227,Moderate
Abdollahipour et al.,2019 Exp 2,Transfer,Adults,impairment,Novice,26,Pedalo riding,Movement time,1.463,0.305,Moderate
Abdollahipour et al.,2014,Transfer,Adults,Healthy,Novice,40,Dart throwing,Accuracy score,-0.134,0.096,Moderate
Agar et al.,2016,Transfer,Children,Healthy,Novice,48,Puck shooting,Accuracy score,-0.297,0.281,Low
Chiviacowsky et al.,2013,Transfer,Children,disability,Novice,24,Beanbag tossing,Accuracy score,1.09,0.424,Moderate
da Silva et al.,2017,Transfer,Children,Healthy,Novice,38,Ballet pirouette,Degree of rotation,1.246,0.348,Moderate
Emanuel et al.,2008,Transfer,Children,Healthy,Novice,32,Dart throwing,Radial error,-0.435,0.349,Moderate
Emanuel et al.,2008,Transfer,Adult,Healthy,Novice,34,Dart throwing,Radial error,0.514,0.341,Moderate
Flôres et al.,2005,Transfer,Children,Healthy,Novice,54,Pedalo riding,Movement time,0.423,0.189,Moderate
Gredin & Williams,2016,Transfer,Children,Healthy,Novice,24,Soccer chipping,Radial error,-0.081,0.157,Moderate
Hadler et al.,2014,Transfer,Children,Healthy,Novice,30,Tennis serve,Accuracy score,1.279,0.392,Moderate
Kalkhoran & Shariati,2014,Transfer,Children,Healthy,Novice,30,Basketball dribbling,Movement time,1.454,0.292,Moderate
Landers et al.,2016,Transfer,Adult,Idiopathic PD,Experienced,21,Balance,Berg Balance Scale,-0.013,0.297,Low
Lawrence et al.,2011,Transfer,Adult,Healthy,Novice,20,routine,score,0.937,0.453,Low
Makaruk et al.,2012,Transfer,Children,Healthy,Experienced,24,Jumping,Jump distance and height,0.651,0.237,Low
Parr & Button,2009,Transfer,Children,Healthy,Novice,12,Rowing,Apex to lock distance of blade,1.814,0.649,Low
"Shafizadeh, Platt & Bahram",2013,Transfer,Adult,Healthy,Novice,24,Dart throwing,Accuracy score,0.746,0.409,Moderate
Totsika & Wulf,2003,Transfer,Adult,Healthy,Novice,22,Pedalo riding,Movement time,0.862,0.249,Moderate
Tse,2017,Transfer,Children,ASD,Novice,44,Beanbag throwing,Radial error,-1.136,0.32,Moderate
"Wulf, Chiviacowsky, et al.",2010,Transfer,Children,Healthy,Novice,48,Soccer throw-in,Movement form score,0.313,0.285,Low
"Wulf, Wächter, et al.",2003,Transfer,Children,Healthy,Novice,40,pass,Accuracy,0.323,0.308,Low
"Wulf, Weigelt, et al.",2003,Transfer,Adult,Healthy,Novice,38,Balance,Angular deviation,1.41,0.351,Low
Ziv & Lidor,2015,Transfer,Adult,Healthy,Novice,48,Golf putting,Radial error,-0.123,0.284,Low
